# Probability of Window [ -0.00, 0.01 ]
# Value       Probability
1.3570        0.0057  
1.4130        0.0081  
1.4690        0.0101  
1.5250        0.0161  
1.5810        0.0195  
1.6370        0.0236  
1.6930        0.0324  
1.7490        0.0369  
1.8050        0.0455  
1.8610        0.0519  
1.9170        0.0608  
1.9730        0.0643  
2.0290        0.0679  
2.0850        0.0706  
2.1410        0.0683  
2.1970        0.0678  
2.2530        0.0637  
2.3090        0.0576  
2.3650        0.0478  
2.4210        0.0434  
2.4770        0.0348  
2.5330        0.0269  
2.5890        0.0203  
2.6450        0.0151  
2.7010        0.0105  
2.7570        0.0066  
2.8130        0.0050  
2.8690        0.0027  
2.9250        0.0019  
2.9810        0.0011  
3.0370        0.0005  
3.0930        0.0003  
3.1490        0.0001  
3.2050        0.0001  
#----------------------------------------
# Probability of Window [ 0.16, 0.17 ]
# Value       Probability
0.6589        0.0000  
0.7118        0.0001  
0.7648        0.0001  
0.8178        0.0001  
0.8707        0.0002  
0.9237        0.0003  
0.9766        0.0005  
1.0296        0.0006  
1.0825        0.0011  
1.1355        0.0015  
1.1885        0.0021  
1.2414        0.0029  
1.2944        0.0044  
1.3473        0.0055  
1.4003        0.0075  
1.4532        0.0112  
1.5062        0.0155  
1.5592        0.0192  
1.6121        0.0239  
1.6651        0.0297  
1.7180        0.0357  
1.7710        0.0406  
1.8240        0.0486  
1.8769        0.0551  
1.9299        0.0603  
1.9828        0.0644  
2.0358        0.0694  
2.0887        0.0673  
2.1417        0.0656  
2.1947        0.0645  
2.2476        0.0585  
2.3006        0.0517  
2.3535        0.0460  
2.4065        0.0367  
2.4595        0.0301  
2.5124        0.0231  
2.5654        0.0181  
2.6183        0.0136  
2.6713        0.0086  
2.7242        0.0054  
2.7772        0.0041  
2.8302        0.0027  
2.8831        0.0015  
2.9361        0.0010  
2.9890        0.0005  
3.0420        0.0002  
3.0949        0.0001  
3.1479        0.0001  
3.2009        0.0000  
3.2538        0.0000  
#----------------------------------------
# Probability of Window [ 0.17, 0.18 ]
# Value       Probability
0.6958        0.0000  
0.7479        0.0000  
0.8001        0.0001  
0.8522        0.0002  
0.9043        0.0001  
0.9565        0.0002  
1.0086        0.0003  
1.0608        0.0005  
1.1129        0.0006  
1.1651        0.0012  
1.2172        0.0016  
1.2694        0.0022  
1.3215        0.0039  
1.3736        0.0051  
1.4258        0.0069  
1.4779        0.0096  
1.5301        0.0130  
1.5822        0.0158  
1.6344        0.0218  
1.6865        0.0273  
1.7387        0.0323  
1.7908        0.0396  
1.8429        0.0474  
1.8951        0.0514  
1.9472        0.0567  
1.9994        0.0613  
2.0515        0.0655  
2.1037        0.0674  
2.1558        0.0665  
2.2079        0.0663  
2.2601        0.0603  
2.3122        0.0544  
2.3644        0.0496  
2.4165        0.0419  
2.4687        0.0348  
2.5208        0.0275  
2.5730        0.0206  
2.6251        0.0154  
2.6772        0.0118  
2.7294        0.0071  
2.7815        0.0046  
2.8337        0.0030  
2.8858        0.0017  
2.9380        0.0010  
2.9901        0.0004  
3.0423        0.0004  
3.0944        0.0002  
3.1465        0.0002  
3.1987        0.0001  
3.2508        0.0000  
#----------------------------------------
# Probability of Window [ 0.18, 0.19 ]
# Value       Probability
0.7495        0.0001  
0.8001        0.0001  
0.8506        0.0001  
0.9012        0.0000  
0.9518        0.0001  
1.0023        0.0004  
1.0529        0.0006  
1.1035        0.0006  
1.1541        0.0013  
1.2046        0.0018  
1.2552        0.0019  
1.3058        0.0029  
1.3563        0.0044  
1.4069        0.0054  
1.4575        0.0087  
1.5081        0.0103  
1.5586        0.0135  
1.6092        0.0176  
1.6598        0.0224  
1.7104        0.0271  
1.7609        0.0338  
1.8115        0.0407  
1.8621        0.0473  
1.9126        0.0516  
1.9632        0.0573  
2.0138        0.0609  
2.0644        0.0660  
2.1149        0.0648  
2.1655        0.0657  
2.2161        0.0624  
2.2666        0.0586  
2.3172        0.0542  
2.3678        0.0456  
2.4184        0.0413  
2.4689        0.0345  
2.5195        0.0270  
2.5701        0.0207  
2.6206        0.0154  
2.6712        0.0111  
2.7218        0.0080  
2.7724        0.0055  
2.8229        0.0032  
2.8735        0.0024  
2.9241        0.0010  
2.9747        0.0010  
3.0252        0.0003  
3.0758        0.0003  
3.1264        0.0001  
3.1769        0.0000  
3.2275        0.0001  
#----------------------------------------
# Probability of Window [ 0.19, 0.20 ]
# Value       Probability
0.7372        0.0000  
0.7919        0.0001  
0.8466        0.0000  
0.9013        0.0002  
0.9560        0.0001  
1.0107        0.0003  
1.0654        0.0003  
1.1201        0.0006  
1.1748        0.0012  
1.2295        0.0017  
1.2842        0.0023  
1.3389        0.0038  
1.3936        0.0054  
1.4483        0.0074  
1.5030        0.0102  
1.5577        0.0144  
1.6124        0.0187  
1.6671        0.0229  
1.7218        0.0309  
1.7765        0.0374  
1.8312        0.0452  
1.8859        0.0509  
1.9406        0.0576  
1.9953        0.0668  
2.0500        0.0691  
2.1048        0.0719  
2.1595        0.0732  
2.2142        0.0695  
2.2689        0.0650  
2.3236        0.0587  
2.3783        0.0503  
2.4330        0.0428  
2.4877        0.0343  
2.5424        0.0262  
2.5971        0.0208  
2.6518        0.0137  
2.7065        0.0090  
2.7612        0.0068  
2.8159        0.0043  
2.8706        0.0026  
2.9253        0.0015  
2.9800        0.0008  
3.0347        0.0004  
3.0894        0.0003  
3.1441        0.0001  
3.1988        0.0000  
3.2535        0.0000  
3.3082        0.0000  
3.3629        0.0000  
3.4176        0.0000  
#----------------------------------------
# Probability of Window [ 0.20, 0.21 ]
# Value       Probability
0.7301        0.0000  
0.7831        0.0000  
0.8362        0.0000  
0.8892        0.0000  
0.9422        0.0002  
0.9952        0.0002  
1.0483        0.0005  
1.1013        0.0006  
1.1543        0.0009  
1.2073        0.0012  
1.2604        0.0022  
1.3134        0.0027  
1.3664        0.0041  
1.4195        0.0057  
1.4725        0.0087  
1.5255        0.0116  
1.5785        0.0145  
1.6316        0.0199  
1.6846        0.0246  
1.7376        0.0331  
1.7906        0.0391  
1.8437        0.0458  
1.8967        0.0536  
1.9497        0.0610  
2.0027        0.0645  
2.0558        0.0678  
2.1088        0.0692  
2.1618        0.0710  
2.2148        0.0670  
2.2679        0.0632  
2.3209        0.0576  
2.3739        0.0489  
2.4269        0.0420  
2.4800        0.0344  
2.5330        0.0242  
2.5860        0.0202  
2.6390        0.0128  
